
3,71

4,70

5,70

6,70

7,71

8,70

9,70

10,70

11,71

39,133

40,125

41,125

42,132

43,125

44,125

45,132

46,125

47,125

48,132

49,125

50,125

51,133

52,125

53,125

54,132

55,125

56,125

57,132

58,125

59,125

60,132

61,125

62,125

63,133

64,125

65,125

66,125

67,133

68,125

69,125

70,132

71,125

72,125

73,132

74,125

75,125

76,132

77,125

78,125

79,133

80,125

81,125

82,132

83,125

84,125

85,132

86,125

87,125

88,132

89,125

90,125

91,133

92,125

93,125

94,125

95,133

96,125

97,125

98,132

99,125

100,125

101,132

102,125

103,125

104,132

105,125

106,125

107,133

108,125

109,125

110,132

111,125

112,125

113,132

114,125

115,125

116,132

117,125

118,125

119,133

363,217

364,198

365,198

366,209

367,198

368,198

369,209

370,198

371,198

372,216

373,198

374,198

375,209

376,198

377,198

378,209

379,198

380,198

381,216

382,198

383,198

384,209

385,198

386,198

387,209

388,198

389,198

390,216

391,198

392,198

393,209

394,198

395,198

396,209

397,198

398,198

399,217

400,198

401,198

402,209

403,198

404,198

405,209

406,198

407,198

408,216

409,198

410,198

411,209

412,198

413,198

414,209

415,198

416,198

417,216

418,198

419,198

420,209

421,198

422,198

423,209

424,198

425,198

426,216

427,198

428,198

429,209

430,198

431,198

432,209

433,198

434,198

435,217

436,198

437,198

438,209

439,198

440,198

441,209

442,198

443,198

444,209

445,198

446,198

447,217

448,198

449,198

450,209

451,198

452,198

453,209

454,198

455,198

456,216

457,198

458,198

459,209

460,198

461,198

462,209

463,198

464,198

465,216

466,198

467,198

468,209

469,198

470,198

471,209

472,198

473,198

474,216

475,198

476,198

477,209

478,198

479,198

480,209

481,198

482,198

483,217

484,198

485,198

486,209

487,198

488,198

489,209

490,198

491,198

492,216

493,198

494,198

495,209

496,198

497,198

498,209

499,198

500,198

501,216

502,198

503,198

